indicator_harmonized,indic_ids,sources,policy,Categories,Categories_2,Subcategories,Subcategories_2
species used for medicine,IPBES_GA_2.3_22_127;IPBES_GA_2.3_42_143,IPBES,0,Knowledge systems,NA,ILK,NA
species with data included in the global biodiversity information facility,IPBES_GA_3_49_379,IPBES,0,Knowledge systems,NA,Information on biodiversity,NA
specific humidity,GEO_2_26_7,GEO,0,ecosystems,NA,Abiotic conditions,NA
speleothem records,IPCC_2_62_100,IPCC,0,ecosystems,NA,State of ecosystems,NA
speleotherm records,IPCC_9_71_451,IPCC,0,ecosystems,NA,Abiotic conditions,NA
spread of alien species by pathway,IPBES_IAS_6_97_160,IPBES,0,Direct drivers,NA,Invasive alien species,NA
stability of land use and land cover,IPBES_GA_2.3_42_143,IPBES,0,ecosystems,NA,State of ecosystems (coverage),NA
standardized groundwater index (sgi),IPCC_11_58_543,IPCC,0,ecosystems,NA,Abiotic conditions,NA
standardized precipitation evapotranspiration index (spei),IPCC_11_58_543;IPCC_11_60_549;IPCC_12_17_601;IPCC_12_85_726;IPCC_sup_41,IPCC,0,ecosystems,NA,Abiotic conditions,NA
standardized precipitation index (spi),IPCC_11_58_543;IPCC_11_60_550;IPCC_12_17_601;IPCC_12_57_665;IPCC_12_57_666;IPCC_sup_34,IPCC,0,ecosystems,NA,Abiotic conditions,NA
standardized precipitation index accumulated over 6 months (spi-6),IPCC_sup_49,IPCC,0,ecosystems,NA,Abiotic conditions,NA
standardized runoff index (sri),IPCC_11_58_543;IPCC_11_94_580;IPCC_12_17_601;IPCC_sup_38,IPCC,0,ecosystems,NA,Abiotic conditions,NA
standardized soil moisture index (ssmi),IPCC_11_58_543;IPCC_sup_37,IPCC,0,ecosystems,NA,Abiotic conditions,NA
standardized streamflow index (ssi),IPCC_11_58_543;IPCC_sup_39,IPCC,0,ecosystems,NA,Abiotic conditions,NA
statistical capacity indicator for sustainable development goal monitoring,SDG_G17.18.1_255;IPBES_SUA_sup_17.18.1_154,SDG;IPBES,1,Governance,Knowledge systems,National/international cooperation,Information on society and socio-economics
status of an individual or species as native or alien,IPBES_IAS_6_114_165,IPBES,0,Direct drivers,NA,Invasive alien species,NA
status of key biodiversity areas,GBF_T2_CY_125;GBF_T3_CY_132,GBF,1,biodiversity,NA,State of biodiversity,NA
status of migratory species in trade,CMS_G2.5_7,CMS,1,Knowledge systems,Ecosystem services,Information on biodiversity,Specific monetary valuation of nature contribution
stock status,GEO_14_16_156,GEO,0,Ecosystem services,NA,Nature contribution,NA
stock values of natural capital,IPBES_VA_2_38_28,IPBES,0,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
stranded debris,GEO_14_15_154,GEO,0,Direct drivers,NA,Pollution,NA
strategies of relevance to migratory species developed and implemented for minimizing genetic erosion,CMS_G4.12_21,CMS,1,Governance,biodiversity,Nature-based legislation,Genetic diversity
strength of people’s connection to the forest,IPBES_SUA_2_97_80,IPBES,0,Knowledge systems,NA,ILK,NA
strom tracks and jets,IPCC_2_26_47,IPCC,0,Human assets,NA,Infrastructure (build-up area),NA
structural and functional connectivity of habitat,IPBES_VA_2_38_28,IPBES,0,ecosystems,NA,State of ecosystems (integrity),NA
subsurface borehole temperature profiles,IPCC_2_31_65,IPCC,0,ecosystems,NA,Abiotic conditions,NA
sudden stratospheric warmings,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA
suicide mortality rate,SDG_G3.4.2_38,SDG,1,Human well-being,NA,Wellness,NA
sulphate in precipitation,IPCC_6_30_309,IPCC,0,Direct drivers,NA,Climate change,NA
summer arctic sea ice extent,GEO_2_26_7,GEO,0,ecosystems,NA,State of ecosystems,NA
surface albedo,IPCC_10_31_483,IPCC,0,ecosystems,NA,Abiotic conditions,NA
surface and upper air temperatures,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA
surface humidity,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA
surface moisture flux convergence,IPCC_8_46_393,IPCC,0,ecosystems,NA,Abiotic conditions,NA
surface soil moisture,IPCC_11_60_550,IPCC,0,ecosystems,NA,Abiotic conditions,NA
surface turbulent fluxes,IPCC_7_17_328,IPCC,0,ecosystems,NA,Abiotic conditions,NA
surface warming,IPCC_6_56_315,IPCC,0,Direct drivers,NA,Climate change,NA
sustainability and nutrient efficiency of national dietary outcomes,GEO_17_11_203,GEO,0,Knowledge systems,Ecosystem services,Information on society and socio-economics,Nature contribution
sustainability and/or environmental themes as one of the general goals of education,GEO_4_9_33,GEO,0,Knowledge systems,NA,Specific information on human-nature relationship,NA
sustainability dashboard,IPBES_VA_2_8_10,IPBES,0,Knowledge systems,Ecosystem services,Specific information on human-nature relationship,Specific mention of sustainable use of species/ecosystems
sustainable development goals index,IPBES_GA_4_147_220;IPBES_VA_2_38_29,IPBES,0,Knowledge systems,Ecosystem services,Specific information on human-nature relationship,Specific mention of sustainable use of species/ecosystems
sustainable development index (sdi),IPBES_VA_5_78_136,IPBES,0,Knowledge systems,Ecosystem services,Specific information on human-nature relationship,Specific mention of sustainable use of species/ecosystems
sustainable economic welfare (isew),IPBES_VA_5_78_136,IPBES,0,Human assets,Knowledge systems,State of economy,Specific information on human-nature relationship
"sustainable fisheries as a proportion of gross domestic product in small island developing states, least developed countries and all countries",SDG_G14.7.1_190;IPBES_SUA_sup_14.7.1_117,SDG;IPBES,1,Ecosystem services,Governance,Specific monetary valuation of nature contribution,Nature-based legislation
sustainable fishing practices,GEO_17_8_200,GEO,0,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
sustainable resource management,GEO_17_20_212,GEO,0,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
sustainable use of wild species,GBF_T5_C_32,GBF,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
sustainable watershed and inland fisheries index,GBF_T5_CY_154,GBF,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
sustainable well-being index (swi),IPBES_VA_2_38_29,IPBES,0,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
temperature,IPBES_IAS_2_5_11;IPCC_2_28_57;IPCC_10_77_504,IPBES;IPCC,0,ecosystems,NA,Abiotic conditions,NA
temporal species turnover,IPBES_GA_1_52_19,IPBES,0,biodiversity,NA,Change in biodiversity,NA
terrestrial c sequestration,IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_34,IPBES,0,Ecosystem services,NA,Nature contribution,NA
terrestrial net primary production,IPBES_GA_2.2_37_70;IPBES_GA_2.2_42_82;IPBES_GA_2.3_39_137;IPBES_GA2.2_sup_35;IPBES_GA2.2_sup_36,IPBES,0,Ecosystem services,NA,Nature contribution,NA
terrestrial permafrost temperature and active layer thickness,IPCC_2_26_47,IPCC,0,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
terrestrial snow cover,IPCC_2_26_47,IPCC,0,ecosystems,NA,State of ecosystems,NA
terrestrial vegetation biomass,IPBES_GA_2.2_1_50,IPBES,0,biodiversity,NA,State of biodiversity,NA
the conservation status of species listed on the cites appendices has stabilized or improved,CITES_G1.5.1_5,CITES,1,biodiversity,NA,Change in biodiversity,NA
the number of protected areas that have completed a site-level assessment of governance and equity (sage),GBF_T3_C_23,GBF,1,Governance,ecosystems,Nature-based legislation,Area conservation
themes in a text representing nature´s values,IPBES_VA_2_38_28,IPBES,0,Knowledge systems,NA,Information on biodiversity,NA
thermokarst,IPCC_2_63_102,IPCC,0,ecosystems,NA,State of ecosystems,NA
thermosteric sea level,IPCC_1_70_30,IPCC,0,ecosystems,NA,State of ecosystems,NA
threshold level methods,IPCC_11_58_543,IPCC,0,ecosystems,NA,Abiotic conditions,NA
threshold when flooding occurs about once every two weeks,IPCC_12_20_605,IPCC,0,ecosystems,Direct drivers,State of ecosystems,Natural drivers
threshold when the local land elevation falls below the local mean higher high water (mhhw),IPCC_12_20_605,IPCC,0,ecosystems,NA,State of ecosystems,NA
thresholds related to antecedent extreme rainfall intensities,IPCC_12_17_598,IPCC,0,ecosystems,NA,Abiotic conditions,NA
thresholds related to antecedent wet periods,IPCC_12_17_598,IPCC,0,ecosystems,NA,Abiotic conditions,NA
tide gauge,IPCC_9_85_462;IPCC_12_73_700,IPCC,0,ecosystems,NA,Abiotic conditions,NA
timber production (m3),IPBES_GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA
time needed to harvest resources,IPBES_GA_2.2_5_55,IPBES,0,Ecosystem services,NA,Nature contribution,NA
time series of normalized difference vegetation index (ndvi),IPCC_1_67_28,IPCC,0,ecosystems,NA,Change in ecosystems,NA
toa energy budget,IPCC_7_82_356,IPCC,0,Ecosystem services,NA,Nature contribution,NA
"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBF_GD_CY_104;GBF_T19_CY_244;SDG_G17.7.1_244;UNCCD_SO5.5_14;IPBES_SUA_sup_17.7.1_144,GBF;SDG;UNCCD;IPBES,1,Governance,NA,Nature-based funding,NA
total catch of cetaceans under international convention for the regulation of whaling,GBF_T5_CY_157,GBF,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),GBF_T8_C_40,GBF,1,Ecosystem services,NA,Nature contribution,NA
total dissolved solids (tds),IPBES_GA_3_74_399,IPBES,0,Direct drivers,NA,Pollution,NA
total gobal population living in water scarce areas,GEO_20_8_234,GEO,0,Human well-being,NA,Healthy living conditions,NA
"total government revenue as a proportion of gross domestic product, by source",SDG_G17.1.1_236;IPBES_SUA_sup_17.1.1_138,SDG;IPBES,1,Human assets,NA,State of economy,NA
total greenhouse gas emissions per year,SDG_G13.2.2_179;IPBES_GA_2_118_47;IPBES_SUA_sup_13.2.2_106,SDG;IPBES,1,Direct drivers,NA,Climate change,NA
total hectares of ramsar sites that have been designated,RAMSAR_SG2.6_22,RAMSAR,1,ecosystems,NA,Area conservation,NA
total imports,IPBES_IAS_2_5_11,IPBES,0,Human assets,NA,State of economy,NA
total investments into capacity-building efforts,CITES_G3.7.3_33,CITES,1,Governance,Governance,National/international cooperation,Nature-based funding
total land footprint,IPBES_GA_2_118_47,IPBES,0,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
total net official development assistance to medical research and basic health sectors,SDG_G3.b.2_51,SDG,1,Knowledge systems,Human assets,Information on society and socio-economics,Coverage of basic needs
total number of internationally recognized certificates of compliance published in the abs clearing-house,GBF_GC_CY_91;GBF_T13_CY_206,GBF,1,Knowledge systems,NA,Information on society and socio-economics,NA
total number of introduced alien species,IPBES_IAS_2_15_20,IPBES,0,Direct drivers,NA,Invasive alien species,NA
"total number of permits, or their equivalent, granted for access to genetic resources",GBF_T13_CY_205,GBF,1,Governance,biodiversity,Nature-based legislation,Genetic resources
total number of transboundary ramsar sites,RAMSAR_OG4.18_69,RAMSAR,1,ecosystems,Governance,Area conservation,National/international cooperation
total number of transfers of crop material from the multilateral system of the international treaty on plant genetic resources for food and agriculture (itpgrfa) received in a country,GBF_T13_CY_204,GBF,1,Knowledge systems,biodiversity,Information on biodiversity,Genetic resources
total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income,SDG_G1.a.1_11;IPBES_SUA_sup_1.a.1_10,SDG;IPBES,1,Human assets,Governance,State of economy,Legislation/governance
total official flows (official development assistance plus other official flows) to the agriculture sector,SDG_G2.a.2_25;IPBES_SUA_sup_2.a.2_23,SDG;IPBES,1,Human assets,NA,State of economy,Information on society and socio-economics
total official international support (official development assistance plus other official flows) to infrastructure,SDG_G9.a.1_126;IPBES_SUA_sup_9.a.1_67,SDG;IPBES,1,Human assets,NA,Infrastructure (build-up area),Information on society and socio-economics
"total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",SDG_G11.4.1_147;IPBES_SUA_sup_11.4.1_80,SDG;IPBES,1,Human assets,NA,State of economy,Information on society and socio-economics
total population,IPBES_GA_2_24_29,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA
"total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",SDG_G10.b.1_141;IPBES_SUA_sup_10.b.1_78,SDG;IPBES,1,Governance,NA,National/international cooperation,NA
total richness of endemic species,IPBES_GA_2.2_21_61,IPBES,0,biodiversity,NA,State of biodiversity,NA
total soil moisture,IPCC_11_60_550,IPCC,0,ecosystems,NA,Abiotic conditions,NA
total value of inward and outward illicit financial flows (in current united states dollars),SDG_G16.4.1_222,SDG,1,Human assets,Governance,State of economy,Broken governance
total wood removals,IPBES_GA_1_52_19,IPBES,0,Ecosystem services,NA,Nature contribution,NA
totem or culturally important species,IPBES_IAS_4_140_116,IPBES,0,Knowledge systems,NA,ILK,NA
tourism direct gross domestic product as a proportion of total gross domestic product and in growth rate,SDG_G8.9.1_111;IPBES_SUA_sup_8.9.1_55,SDG;IPBES,1,Human assets,NA,State of economy,NA
toxocological potential of nanoparticals,GEO_4_15_36,GEO,0,Direct drivers,NA,Pollution,NA
trade in wild animals,IPBES_SUA_4_184_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA
trade in wild mammals,IPBES_SUA_4_184_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA
transfer of water to the atmosphere,IPBES_GA_2.3_56_155,IPBES,0,Ecosystem services,NA,Nature contribution,NA
transient climate response tcr,IPCC_7_9_323;IPCC_7_44_330,IPCC,0,ecosystems,NA,Abiotic conditions,NA
tree biomass,IPBES_IAS_3_84_95,IPBES,0,biodiversity,NA,State of biodiversity,NA
tree cover,IPBES_GA_2.2_1_50;IPBES_GA_2.2_37_70;IPBES_GA_2.2_40_77;IPBES_GA_3_15_329;IPBES_GA_3_55_389;IPBES_GA_3_72_395;IPBES_GA2.2_sup_25;IPBES_GA3_sup_16,IPBES,0,biodiversity,NA,State of biodiversity,NA
tree cover loss,GBF_GA_CY_3,GBF,1,biodiversity,NA,Change in biodiversity,NA
tree rings,IPCC_3_27_176;IPCC_8_33_374,IPCC,0,biodiversity,NA,State of biodiversity,NA
trend in carbon intensity,IPBES_GA_1_52_19,IPBES,0,Direct drivers,NA,Pollution,NA
trends in abundance and distribution of selected species,UNCCD_SO4.2_9,UNCCD,1,biodiversity,NA,Change in biodiversity,NA
"trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",GBF_T6_CY_168,GBF,1,biodiversity,Direct drivers,State of biodiversity,Invasive alien species
trends in access to safe drinking water in affected areas,UNCCD_SO2.2_5,UNCCD,1,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs
trends in adoption of multinational agreements to reduce invasive alien species threats,IPBES_IAS_6_21_146,IPBES,0,Direct drivers,Governance,Invasive alien species,Nature-based legislation
trends in attention to migratory species in national biodiversity strategies and action plans,CMS_G5.13_22,CMS,1,Governance,NA,Nature-based legislation,NA
trends in awareness and attitudes to migratory species,CMS_G1.1_2,CMS,1,Knowledge systems,biodiversity,Information on biodiversity,State of biodiversity
trends in carbon stocks above and below ground,UNCCD_SO1.1_3;UNCCD_SO4.1_8,UNCCD,1,ecosystems,Direct drivers,State of ecosystems (integrity),Climate change
"trends in conservation status, including connectivity, of identified habitats of key importance for migratory species",CMS_G3.10_17,CMS,1,biodiversity,Knowledge systems,Change in biodiversity,Information on biodiversity
trends in delivery of ecosystem services directly dependent on migratory species,CMS_G4.11_20,CMS,1,ecosystems,Governance,Change in ecosystems,Nature-based legislation
trends in distribution of migratory species,CMS_G3.8_15,CMS,1,biodiversity,Knowledge systems,Change in biodiversity,Information on biodiversity
trends in domestic public resources,UNCCD_SO5.2_11,UNCCD,1,Human assets,NA,State of economy,NA
trends in effective and sustainable management of human-wildlife conflict and coexistence,GBF_T4_C_27,GBF,1,biodiversity,Governance,Species conservation,Nature-based legislation
trends in establishment and national adoption of international agreements relevant to the prevention and control of invasive alien species,IPBES_IAS_6_11_138;IPBES_IAS_6_119_174,IPBES,0,Direct drivers,Governance,Invasive alien species,Nature-based legislation
trends in extinction risk of birds impacted by invasive species,IPBES_IAS_6_21_146,IPBES,0,Direct drivers,biodiversity,Invasive alien species,Change in biodiversity
trends in fisheries certified by the msc,IPBES_GA_1_52_19,IPBES,0,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
trends in forest extent,IPBES_GA_1_52_19,IPBES,0,ecosystems,NA,Change in ecosystems,NA
trends in integration of migratory species concerns in national biodiversity strategies and action plans,CMS_G5.13_23,CMS,1,biodiversity,Governance,Change in biodiversity,Nature-based legislation
trends in integration of migratory species values in national and sectoral policies,CMS_G1.2_3,CMS,1,Governance,Knowledge systems,Nature-based legislation,Information on biodiversity
trends in international bilateral and multilateral official development assistance,UNCCD_SO5.1_10,UNCCD,1,Governance,NA,National/international cooperation,NA
