odd,indicator_harmonized,indic_ids,sources,policy,Categories,Subcategories,Categories_2,Subcategories_2,sources_old
,"the number of parties with national and regional training programmes and information resources in place to implement cites including the making of non-detriment findings, issuance of permits and enforcement",NA,NA,NA,Knowledge systems,Specific information on human-nature relationship,NA,NA,CITES
,the number of parties with web pages on cites and its requirements,NA,NA,NA,Knowledge systems,Specific information on human-nature relationship,NA,NA,CITES
,the number of protected areas that have completed a site-level assessment of governance and equity (sage),GBF_T3_C_23,GBF,1,Governance,Nature-based legislation,ecosystems,Area conservation,
,"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the population status of appendix-ii species",NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the status of and trend in naturally-occurring appendix i species and the impact of any recovery plans",NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,"the number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf.16.7 on non detriment findings related to the trends and impact of trade upon appendix-ii species",NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,the number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade,NA,NA,NA,Governance,Nature-based legislation,Governance,National/international cooperation,CITES
,the number of visits to the cites website,NA,NA,NA,Knowledge systems,Specific information on human-nature relationship,NA,NA,CITES
,"the number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared, cites listed, species",NA,NA,NA,Governance,National/international cooperation,Knowledge systems,Specific information on human-nature relationship,CITES
,the overall conservation status of wetlands,NA,NA,NA,ecosystems,State of ecosystems (freshwater/coastal),NA,NA,RAMSAR
,the percentage of the work programme agreed by the conference of the parties that is fully funded,NA,NA,NA,Governance,Nature-based funding,NA,NA,CITES
,the proportion of candidate ramsar sites designated so far for wetland types/features,NA,NA,NA,ecosystems,Area conservation,NA,NA,RAMSAR
,the status of the ecological character of ramsar sites,NA,NA,NA,ecosystems,State of ecosystems (freshwater/coastal),NA,NA,RAMSAR
,themes in a text representing nature´s values,VA_2_38_28,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA,IPBES
,thermokarst,IPCC_2_63_102,IPCC,0,ecosystems,State of ecosystems,NA,NA,IPCC
,thermosteric sea level,IPCC_1_70_30,IPCC,0,ecosystems,State of ecosystems,NA,NA,IPCC
,thousands of deaths each year,IPBES_GA2.3_sup_89,IPBES,0,Human well-being,Healthy living conditions,Knowledge systems,Coverage of basic needs,IPBES
,threshold level methods,IPCC_11_58_543,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,threshold when flooding occurs about once every two weeks,IPCC_12_20_605,IPCC,0,ecosystems,State of ecosystems,Direct drivers,Natural drivers,IPCC
,threshold when the local land elevation falls below the local mean higher high water (mhhw),IPCC_12_20_605,IPCC,0,ecosystems,State of ecosystems,NA,NA,IPCC
,thresholds related to antecedent extreme rainfall intensities,IPCC_12_17_598,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,thresholds related to antecedent wet periods,IPCC_12_17_598,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,tide gauge,IPCC_9_85_462;IPCC_12_73_700,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,timber harvest (m3/ha/year),IPBES_GA2.3_sup_184,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,timber production (m3),GA_2.3_42_143,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,time needed or distance travelled to harvest resources,GA_2.2_65_113,IPBES,0,Human well-being,Healthy living conditions,NA,NA,IPBES
,"time needed to harvest resources, distance travelled to harvest resources",GA_2.2_5_55,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,time series of normalized difference vegetation index (ndvi),IPCC_1_67_28,IPCC,0,ecosystems,Change in ecosystems,NA,NA,IPCC
,toa energy budget,IPCC_7_82_356,IPCC,0,Ecosystem services,Nature contribution,NA,NA,IPCC
,tonnage of animal waste used for energy,IPBES_GA2.3_sup_140,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,"tonnage of biomass (sugar cane, corn, palm oil)",IPBES_GA2.3_sup_122;IPBES_GA2.3_sup_127,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,"tonnage of biomass (sugar cane, corn, palm oil), other energy crops",NA,NA,NA,Ecosystem services,Nature contribution,NA,NA,IPBES
,tonnage of cotton production,IPBES_GA2.3_sup_222,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,tonnage of fuelwood,IPBES_GA2.3_sup_124,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,tons of oil equivalent x price,IPBES_GA2.3_sup_136,IPBES,0,Human assets,Income,NA,NA,IPBES
x,"total amount of funding for developing countries and countries with economies in transition to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",UNCCD_SO5.5_14,UNCCD,1,,,,,
,"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBF_GD_CY_103;GBF_T19_CY_242;SDG_G17.7.1_244;IPBES_SUA_sup_17.7.1_144;UNCCD_SO5.5_14,GBF;SDG;IPBES;UNCCD,1,Governance,Nature-based funding,NA,NA,IPBES;GBF;SDG
,total catch of cetaceans under international convention for the regulation of whaling,GBF_T5_CY_156,GBF,1,Ecosystem services,Specific mention of sustainable use of species/ecosystems,NA,NA,GBF
,total climate regulation services provided by ecosystems by ecosystem type (system of environmental economic accounts),GBF_T8_C_40,GBF,1,Ecosystem services,Nature contribution,NA,NA,GBF
,total dissolved solids (tds),GA_3_74_399,IPBES,0,Direct drivers,Pollution,NA,NA,IPBES
,total gobal population living in water scarce areas,GEO_20_8_234,GEO,0,Human well-being,Healthy living conditions,NA,NA,GEO
,"total government revenue as a proportion of gross domestic product, by source",SDG_G17.1.1_236;IPBES_SUA_sup_17.1.1_138,SDG;IPBES,1,Human assets,Information on society and socio-economics,NA,NA,IPBES;SDG
,total greenhouse gas emissions per year,SDG_G13.2.2_179;GA_2_118_47;IPBES_SUA_sup_13.2.2_106,SDG;IPBES,1,Direct drivers,Climate change,NA,NA,IPBES;SDG
,total hectares of ramsar sites that have been designated,RAMSAR_SG2.6_22,RAMSAR,1,ecosystems,Area conservation,,,
,total imports,IAS_2_5_11,IPBES,0,Human assets,State of economy,NA,NA,IPBES
,total international migrant stock,NA,NA,NA,Human assets,Information on society and socio-economics,NA,NA,IPBES
,total investments into capacity-building efforts,CITES_G3.7.3_33,CITES,1,Governance,National/international cooperation,Governance,Nature-based funding,
,total land footprint,GA_2_118_47,IPBES,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,IPBES
,total net official development assistance to medical research and basic health sectors,SDG_G3.b.2_51,SDG,1,Human assets,Coverage of basic needs,NA,NA,SDG
,total number of internationally recognized certificates of compliance published in the abs clearing-house,GBF_GC_CY_90;GBF_T13_CY_204,GBF,1,Knowledge systems,Information on society and socio-economics,NA,NA,GBF
,total number of introduced alien species,IAS_2_15_20,IPBES,0,biodiversity,Invasive alien species,NA,NA,IPBES
,"total number of permits, or their equivalent, granted for access to genetic resources",GBF_T13_CY_203,GBF,1,Governance,Nature-based legislation,biodiversity,Genetic resources,GBF
,total number of transboundary ramsar sites,RAMSAR_OG4.18_69,RAMSAR,1,ecosystems,Area conservation,Governance,National/international cooperation,
,total number of transfers of crop material from the multilateral system of the international treaty on plant genetic resources for food and agriculture (itpgrfa) received in a country,GBF_T13_CY_202,GBF,1,Knowledge systems,Information on biodiversity,biodiversity,Genetic resources,GBF
,total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income,SDG_G1.a.1_11;IPBES_SUA_sup_1.a.1_10,SDG;IPBES,1,Human assets,State of economy,Governance,Legislation/governance,IPBES;SDG
,total official flows (official development assistance plus other official flows) to the agriculture sector,SDG_G2.a.2_25;IPBES_SUA_sup_2.a.2_23,SDG;IPBES,1,Human assets,State of economy,NA,Information on society and socio-economics,IPBES;SDG
,total official international support (official development assistance plus other official flows) to infrastructure,SDG_G9.a.1_126;IPBES_SUA_sup_9.a.1_67,SDG;IPBES,1,Human assets,Infrastructure (build-up area),NA,Information on society and socio-economics,IPBES;SDG
,"total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",SDG_G11.4.1_147;IPBES_SUA_sup_11.4.1_80,SDG;IPBES,1,Human assets,State of economy,NA,Information on society and socio-economics,IPBES;SDG
,total population,GA_2_24_29,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA,IPBES
,"total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",SDG_G10.b.1_141;IPBES_SUA_sup_10.b.1_78,SDG;IPBES,1,Governance,National/international cooperation,NA,NA,IPBES;SDG
,total richness of endemic species,GA_2.2_21_61,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,total soil moisture,IPCC_11_60_550,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,total value of inward and outward illicit financial flows (in current united states dollars),SDG_G16.4.1_222,SDG,1,Human assets,State of economy,Governance,Broken governance,SDG
,total wood removals,GA_1_52_19,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,totem or culturally important species,IAS_4_140_116,IPBES,0,Knowledge systems,ILK,NA,NA,IPBES
,tourism direct gross domestic product as a proportion of total gross domestic product and in growth rate,SDG_G8.9.1_111;IPBES_SUA_sup_8.9.1_55,SDG;IPBES,1,Human assets,State of economy,NA,NA,IPBES;SDG
,toxocological potential of nanoparticals,GEO_4_15_36,GEO,0,Direct drivers,Pollution,NA,NA,GEO
,trade in wild animals,SUA_4_184_143,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,trade in wild mammals,SUA_4_184_143,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,trade of silk,IPBES_GA2.3_sup_214,IPBES,0,Human assets,Income,Ecosystem services,Nature contribution,IPBES
,trait convergence assembly pattern (tcap),IPBES_GA2.3_sup_293,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,trait divergence assembly pattern (tdap),IPBES_GA2.3_sup_294,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,transfer of water to the atmosphere,GA_2.3_56_155,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,transient climate response tcr,IPCC_7_9_323;IPCC_7_44_330,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,tree biomass,IAS_3_84_95,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,tree cover,GA_2.2_1_50;GA_2.2_37_70;GA_2.2_40_77;GA_3_15_329;GA_3_55_389;GA_3_72_395;IPBES_GA2.2_sup_25;IPBES_GA3_sup_16,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,tree cover loss,GBF_GA_CY_3,GBF,1,biodiversity,Change in biodiversity,NA,NA,GBF
,tree rings,IPCC_3_27_176;IPCC_8_33_374,IPCC,0,biodiversity,State of biodiversity,NA,NA,IPCC
,trend in carbon intensity,GA_1_52_19,IPBES,0,Direct drivers,Pollution,NA,NA,IPBES
,trends in abundance and distribution of selected species,UNCCD_SO4.2_9,UNCCD,1,biodiversity,Change in biodiversity,,,
,"trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",GBF_T6_CY_167,GBF,1,biodiversity,State of biodiversity,Direct drivers,Invasive alien species,GBF
,trends in access to safe drinking water in affected areas,UNCCD_SO2.2_5,UNCCD,1,Human well-being,Healthy living conditions,Human assets,Coverage of basic needs,
,trends in adoption of multinational agreements to reduce invasive alien species threats,IAS_6_21_146,IPBES,0,Direct drivers,Invasive alien species,Governance,Nature-based legislation,IPBES
,trends in attention to migratory species in national biodiversity strategies and action plans,CMS_G5.13_22,CMS,1,Governance,Nature-based legislation,,,
,trends in awareness and attitudes to migratory species,CMS_G1.1_2,CMS,1,Knowledge systems,Information on biodiversity,biodiversity,State of biodiversity,CMS
,trends in biological oxygen demand (bod),NA,NA,NA,ecosystems,State of ecosystems (integrity),NA,NA,RAMSAR
,trends in carbon stocks above and below ground,UNCCD_SO1.1_3;UNCCD_SO4.1_8,UNCCD,1,ecosystems,State of ecosystems (integrity),Direct drivers,Climate change,
,trends in conservation status - qualitative assessment,NA,NA,NA,ecosystems,Area conservation,NA,NA,RAMSAR
,"trends in conservation status, including connectivity, of identified habitats of key importance for migratory species",CMS_G3.10_17,CMS,1,biodiversity,Change in biodiversity,Knowledge systems,Information on biodiversity,CMS
,trends in delivery of ecosystem services directly dependent on migratory species,CMS_G4.11_20,CMS,1,ecosystems,Change in ecosystems,Governance,Nature-based legislation,CMS
,trends in dissolved nitrate (or nitrogen) concentration,NA,NA,NA,ecosystems,State of ecosystems (integrity),NA,NA,RAMSAR
,trends in distribution of migratory species,CMS_G3.8_15,CMS,1,biodiversity,Change in biodiversity,Knowledge systems,Information on biodiversity,CMS
,trends in domestic public resources,UNCCD_SO5.2_11,UNCCD,1,Human assets,Information on society and socio-economics,,,
,trends in effective and sustainable management of human-wildlife conflict and coexistence,GBF_T4_C_27,GBF,1,Governance,Nature-based legislation,NA,NA,GBF
,trends in establishment and national adoption of international agreements relevant to the prevention and control of invasive alien species,IAS_6_11_138,IPBES,0,Direct drivers,Invasive alien species,Governance,Nature-based legislation,IPBES
x,trends in establishments and national adoption of international agreements relevant to the prevention and control of invasive alien species,IAS_6_119_174,IPBES,0,,,,,
,trends in extinction risk of birds impacted by invasive species,IAS_6_21_146,IPBES,0,Direct drivers,Invasive alien species,biodiversity,Change in biodiversity,IPBES
,trends in fisheries certified by the msc,GA_1_52_19;IPBES_GA2.3_sup_162,IPBES,0,Ecosystem services,Specific mention of sustainable use of species/ecosystems,NA,NA,IPBES
,trends in forest extent,GA_1_52_19,IPBES,0,ecosystems,Change in ecosystems,NA,NA,IPBES
,trends in genetic diversity of selected species,NA,NA,NA,biodiversity,Change in biodiversity,biodiversity,Genetic diversity,CMS
,trends in integration of migratory species concerns in national biodiversity strategies and action plans,CMS_G5.13_23,CMS,1,biodiversity,Change in biodiversity,Governance,Nature-based legislation,CMS
,trends in integration of migratory species values in national and sectoral policies,CMS_G1.2_3,CMS,1,Governance,Nature-based legislation,Knowledge systems,Information on biodiversity,CMS
,trends in international bilateral and multilateral official development assistance,UNCCD_SO5.1_10,UNCCD,1,Governance,National/international cooperation,,,
,trends in invasive alien species eradication at different scales,IAS_6_21_146,IPBES,0,Direct drivers,Invasive alien species,NA,NA,IPBES
,trends in invasive alien species relevant submissions to managers,IAS_6_21_146,IPBES,0,Direct drivers,Invasive alien species,NA,NA,IPBES
,trends in invasive alien species vertebrate eradications,GA_1_52_19,IPBES,0,Governance,Nature-based legislation,Direct drivers,Invasive alien species,IPBES
