indicators_harmonized,ga,sua,va,ias,ipbes,geo,ipcc,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,indic,indic_ext,var_ext,ILK_ext,Categories,Categories_2,Subcategories,Subcategories_2
daily maximum tempreature above 35°c,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
climate velocity,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
accumulated seasonal heat,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
extreme canopy temperatures,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
2 m air temperatures,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
heat stress (humidity and temperature),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
10-day cumulative precipitation,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
precipitation intensity-duration thresholds,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
thresholds related to antecedent wet periods,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
thresholds related to antecedent extreme rainfall intensities,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
changes in soil moisture,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
changes in surface water,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
water table depth,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
rooting depth,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
changes in precipitation,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
changes in evapotranspiration demand,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
changes in groundwater,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
water flow volume,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
water intermittency thresholds,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
low-flows days,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
extreme low runoff,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
lightning frequency,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
fuel aridity,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
snow cover,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
local wind circulations,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
snow water equivalent at key seasonal dates,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
fraction of precipitation falling as snow,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
first and last days of snow cover,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
cold season temperatures,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
threshold when the local land elevation falls below the local mean higher high water (mhhw),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,State of ecosystems,NA
threshold when flooding occurs about once every two weeks,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,Direct drivers,State of ecosystems,Natural drivers
rate of rslr (relative sea level rise),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
magnitude of shoreline retreat by a pre-determined planning horizon such as 50 or 100 years into the future,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
beach erosion volume due to the 100-year recurrence storm wave height,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
full exceedance probability distribution of coastal erosion volume,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Change in ecosystems,NA
cumulative storm energy and storm power index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Ecosystem services,ecosystems,Nature contribution,Abiotic conditions
climatic impact-driver (cid) magnitude,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
climatic impact-driver (cid) frequency,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
climatic impact-driver (cid) duration,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
climatic impact-driver (cid) timing,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
climatic impact-driver (cid) spatial extent,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
change in # days tx>35°c,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
change in # days hi>41°c,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
change in # droughts,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
change in # soil moisture,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
change in mean wind,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
change in extreme total water level,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
areas below calcium carbonate saturation thresholds,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
drought index (di),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
drought frequency (df),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
forest fire danger index (ffdi),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Natural drivers,NA
c-haines index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
combined sea level due to storm surge and tide,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
growing degree days,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
cooling degree days,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
wet bulb globe temperature (wbgt) index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
maximum temperatures,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
cooling degree day index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
heat stress index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Climate change,NA
heating degree day index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
drought severity index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
shoreline change (indicator of coastal erosion),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,State of ecosystems (freshwater/coastal),NA
humidity,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
monthly drought code fire index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Natural drivers,NA
fire weather index (fwi),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Natural drivers,NA
maximum fire weather index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Natural drivers,NA
convective available potential energy and wind shear,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
degree heating weeks,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
degree heating months,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
maximum daytime heat index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
regional deficit index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Human assets,NA,State of economy,NA
fire risk,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Natural drivers,NA
wet bulb temperature,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
greenhouse gas index (national oceanic and atmospheric administration),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Climate change,NA
glacier mass balance,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Change in ecosystems,NA
northern hemisphere (mar-apr) snow cover,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
specific humidity,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
annual global mean surface temperature,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
marine air temperature,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
tropospheric temperature,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
ocean heat content and specific humidity,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
shrinking of the arctic ice cover,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,State of ecosystems,NA
increase in the global mean sea level,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Change in ecosystems,NA
altering of the carbon and biogeochemical cycles,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
extent of ice cover,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,State of ecosystems,NA
summer arctic sea ice extent,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,State of ecosystems,NA
climate related loss events,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
poverty,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Human assets,Human well-being,State of economy,Healthy living conditions
zoonotic disease,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,NA,(Infectious) diseases,NA
nutrition,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Human well-being,NA,Healthy living conditions,NA
life expectancy,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Human well-being,NA,Healthy living conditions,NA
economic growth,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Human assets,NA,State of economy,NA
inclusive societies,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Human well-being,NA,Equity,NA
environmentally friendly policy processes,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Governance,NA,Nature-based legislation,NA
gender-disaggregated agricultural indices,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Human well-being,NA,Equity,NA
agricultural employment and landholders,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Human assets,NA,Income,NA
cross-natrional comparative information on access to and ownership of land,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Human well-being,NA,Equity,NA
sex-disaggregated burden-of-disease data,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Human well-being,NA,Healthy living conditions,NA
underweight children,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Human well-being,NA,Healthy living conditions,NA
global human settlement layer (ghsl),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
sustainability and/or environmental themes as one of the general goals of education,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Knowledge systems,NA,Specific information on human-nature relationship,NA
integration of education for sustainable development (esd) in curricula,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Knowledge systems,NA,Specific information on human-nature relationship,NA
integration of education for sustainable development (esd) in higher education,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Knowledge systems,NA,Specific information on human-nature relationship,NA
loss of mass of mountain glaciers and polar ice sheets,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Change in ecosystems,NA
sea level rise,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,ecosystems,Climate change,State of ecosystems (marine)
mountain glaciers,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,State of ecosystems,NA
polar ice sheets,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,State of ecosystems,NA
antimicrobial resistence in pathogens,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,biodiversity,NA,State of biodiversity,NA
toxocological potential of nanoparticals,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Pollution,NA
global temperature increase,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,Direct drivers,Climate change,Natural drivers
measured concentrations of o in the upper stratospere,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
odss and ghgs,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,NA,Pollution,NA
o3 concentration,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
pressure ozone trend,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
o recovery,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
national oceanic and atmospheric administration annual greenhouse gas index (aggi),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Pollution,NA
air pollution exposure,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,NA,Pollution,NA
"years of healthy life lost from heart disease, stroke, lung cancer, chronic lung disease and respiratory infections",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Human well-being,NA,Healthy living conditions,NA
exposure to ambient pm,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Human well-being,NA,Healthy living conditions,NA
"high blood pressure, smoking, low birth weight, high levels of blood sugar",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Human well-being,NA,Healthy living conditions,NA
high body mass index,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,biodiversity,NA,State of biodiversity,NA
premature deaths,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Human well-being,NA,Healthy living conditions,NA
exposure to high concentrations of pollutants,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,NA,Pollution,NA
safe level of annual average pm exposure,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,NA,Pollution,NA
disability-adjusted life years (dalys) lost,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Human well-being,NA,Healthy living conditions,NA
premature deaths in 2016 to household air pollution,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Human well-being,Direct drivers,Healthy living conditions,Pollution
urban growth,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Human assets,NA,Infrastructure (build-up area),NA
habitat loss,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Change in ecosystems,NA
deforestation,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Change in ecosystems,NA
road construction,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Human assets,NA,Infrastructure (build-up area),NA
species abundance,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,biodiversity,NA,State of biodiversity,NA
invertebrate abundance and biomass,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,biodiversity,NA,State of biodiversity,NA
enhanced vegetation index,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,State of ecosystems (integrity),NA
land cover change,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Land conversion,NA
deforestation rate,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,ecosystems,Land conversion,Change in ecosystems
coral bleaching,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,Direct drivers,Change in ecosystems,Climate change
global atmospheric co levels,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
marine litter,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Pollution,NA
floating plastic litter density,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,Direct drivers,State of ecosystems (integrity),Pollution
build up area,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Human assets,NA,Infrastructure (build-up area),NA
fertilizer price,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,NA,Pollution,NA
maize price,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
wetland area index,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,State of ecosystems,NA
living planet index (migratory fish),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,biodiversity,NA,State of biodiversity,NA
water infrastructure,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
"drinking water supply, treatment and distribution",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Human well-being,NA,Healthy living conditions,NA
"provision of safe, reliable drinking water",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Human well-being,NA,Healthy living conditions,NA
us national ambient air quality standards,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Human well-being,NA,Healthy living conditions,NA
population-weighted annual mean concentration of pm2.5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Pollution,NA
emissions of ozone-depleting substances,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Pollution,NA
anthropogenic emissions of long-lived greenhouse gases (co2 equivalents),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Pollution,NA
exposure to pm concentrations (population-weighted annual mean concentration of pm2.5),NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Pollution,NA
pm2.5 emissions,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Pollution,NA
so2 emissions,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Pollution,NA
no emissions,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Pollution,NA
nh3 emissions,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Pollution,NA
